event_id,event_order,dimension_event_order,ts_utc,transition_dimension,previous_state,current_state,transition_label,transition_category,transition_direction,is_stress_transition,taxonomy_version
stress:0013,127,13,2025-11-26T05:00:00Z,stress,dispersion_stress,normal_stress,stress:dispersion_stress->normal_stress,stress_relief,exit,True,regime_taxonomy_v1
trend:0021,128,21,2025-11-28T05:00:00Z,trend,downtrend,sideways,trend:downtrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0077,129,77,2025-12-01T05:00:00Z,drawdown_recovery,recovery,underwater,drawdown_recovery:recovery->underwater,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0078,130,78,2025-12-02T05:00:00Z,drawdown_recovery,underwater,near_peak,drawdown_recovery:underwater->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
trend:0022,131,22,2025-12-05T05:00:00Z,trend,sideways,uptrend,trend:sideways->uptrend,generic_transition,state_change,False,regime_taxonomy_v1
trend:0023,132,23,2025-12-11T05:00:00Z,trend,uptrend,sideways,trend:uptrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0079,133,79,2025-12-12T05:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
trend:0024,134,24,2025-12-18T05:00:00Z,trend,sideways,uptrend,trend:sideways->uptrend,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0080,135,80,2025-12-18T05:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
drawdown_recovery:0081,136,81,2025-12-24T05:00:00Z,drawdown_recovery,recovery,near_peak,drawdown_recovery:recovery->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
volatility:0019,137,19,2025-12-26T05:00:00Z,volatility,normal_volatility,low_volatility,volatility:normal_volatility->low_volatility,volatility_downshift,down,False,regime_taxonomy_v1
trend:0025,138,25,2025-12-31T05:00:00Z,trend,uptrend,sideways,trend:uptrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0082,139,82,2025-12-31T05:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
